sampleID	Bcells	CAFs	CD4_Tcells	CD8_Tcells	Endothelial	Macrophages	NKcells	otherCells
U2046	0.0037	0.0284	0.2121	0.0503	0.0877	9e-04	0	0.6169
U2047	0.002	0.03	0.258	0.0556	0.1432	4e-04	0	0.5109
U2039	0.0036	0.0051	0.2594	0.0447	0.0667	0	0	0.6204
U2064	7e-04	0.0107	0.2936	0.042	0.1113	5e-04	0	0.5412
U0329	0.0032	0.0058	0.2484	0.052	0.0522	1e-04	0	0.6382
U0262	0.0022	0.0298	0.2638	0.0605	0.0715	2e-04	0	0.572
U2063	0.0035	0.0096	0.2757	0.0615	0.0573	4e-04	0	0.592
U1248	0.0033	0.0345	0.2692	0.049	0.1056	3e-04	0	0.5382
U2077	0	0.0044	0.2854	0.064	0.0617	0	0	0.5844
U2057	0.003	0.0166	0.3024	0.0584	0.0838	4e-04	0	0.5353
U0965	0.0013	0.0127	0.2311	0.0541	0.121	1e-04	0	0.5798
U0551	0.0049	0.0289	0.2024	0.0566	0.0492	7e-04	0	0.6573
U0794	0.0048	0.0217	0.2683	0.0721	0.0617	5e-04	0	0.5709
U0519	0.0062	0.0113	0.219	0.0498	0.0622	8e-04	0	0.6505
U0151	0.0057	0.0123	0.1994	0.055	0.0603	1e-04	0	0.6672
U2068	0.0016	0.0149	0.2231	0.0464	0.1087	2e-04	0	0.605
U0160	0.004	0.024	0.2732	0.0499	0.0615	9e-04	0	0.5865
U0638	0.0053	0.0134	0.2184	0.0564	0.0661	4e-04	0	0.6401
U0631	0.0032	0.0178	0.2268	0.0553	0.0795	1e-04	0	0.6173
U0153	0.0047	0.0109	0.268	0.0635	0.104	2e-04	0	0.5487
U0614	0.0014	0.0114	0.2521	0.0506	0.0642	1e-04	0	0.6203
U0184	0.0051	0.0112	0.2341	0.0555	0.0784	3e-04	0	0.6156
U1409	0.0046	0.0103	0.2215	0.0506	0.0656	2e-04	0	0.6472
U1434	0.0044	0.016	0.1936	0.0638	0.0614	3e-04	0	0.6604
U0615	0.0025	0.0099	0.2654	0.0575	0.0793	0	0	0.5854
U1084	0.008	0.0109	0.2256	0.073	0.0359	4e-04	0	0.6462
U1430	0.0046	0.0261	0.2194	0.0568	0.0763	3e-04	0	0.6164
U0322	0.0031	0.0229	0.2053	0.0564	0.1141	3e-04	0	0.5979
U1153	0.0093	0.0177	0.3222	0.0826	0.0554	8e-04	0	0.5121
U1108	0.0036	0.0133	0.3205	0.09	0.0549	0	0	0.5177
U0344	0.0043	0.0322	0.176	0.049	0.1221	3e-04	0	0.6161
U0531	0.0012	0.0244	0.22	0.0424	0.0511	2e-04	0	0.6607
U1146	0.0054	0.0216	0.236	0.0584	0.0694	7e-04	0	0.6086
U0199	0.0021	0.0074	0.1923	0.0421	0.0758	1e-04	0	0.6803
U0426	0.0034	0.016	0.2484	0.0375	0.0973	8e-04	0	0.5966
U1103	0.0059	0.0019	0.2775	0.0674	0.0496	1e-04	0	0.5976
U1458	0.0046	0.0129	0.1858	0.0525	0.0656	3e-04	0	0.6783
U1113	0.001	0.0206	0.3009	0.057	0.0929	0	0	0.5276
U0627	0.0035	0.0237	0.2679	0.0593	0.0885	3e-04	0	0.5568
U0494	0.0064	0.0627	0.2606	0.0597	0.0956	4e-04	0	0.5145
U0772	0.0071	0.0065	0.1923	0.0471	0.0581	7e-04	0	0.6883
U0555	0.007	0.0074	0.2481	0.0659	0.0423	6e-04	0	0.6286
U1148	0.008	0.0057	0.2592	0.0766	0.0411	1e-04	0	0.6094
U0337	0.0029	0.0212	0.2278	0.0416	0.0892	4e-04	0	0.6169
U2113	0.0017	0.0112	0.2992	0.0707	0.0412	3e-04	0	0.5756
U0154	0.0047	0.0068	0.2552	0.0589	0.0735	1e-04	0	0.6008
U0411	0.0029	0.008	0.2282	0.0564	0.0584	5e-04	0	0.6456
U0585	0.005	0.0352	0.2639	0.0656	0.163	3e-04	0	0.4671
U2116	0.0031	0.0122	0.3168	0.0573	0.0684	1e-04	0	0.5421
U1404	0.0054	0.0538	0.1922	0.0589	0.1034	3e-04	0	0.586
U0397	0.0026	0.0391	0.2592	0.0338	0.1773	0.0012	0	0.4868
U0349	0.0014	0.004	0.2891	0.0579	0.0891	2e-04	0	0.5583
U0558	0.0107	0.0076	0.2989	0.0844	0.0413	3e-04	0	0.5568
U0587	0.0028	0.0035	0.1888	0.046	0.0287	3e-04	0	0.73
U0346	0.0052	0.0199	0.2777	0.0741	0.1232	6e-04	0	0.4993
U0425	0.0028	0.007	0.2144	0.0545	0.0504	3e-04	0	0.6705
U0534	0.006	0.021	0.291	0.0665	0.0533	3e-04	0	0.5618
U0870	0.0093	0.0069	0.2311	0.0618	0.0346	7e-04	0	0.6556
U0657	0.0063	0.0165	0.2662	0.0675	0.0572	6e-04	0	0.5856
U2029	0.0018	0.0317	0.2943	0.0506	0.1113	5e-04	0	0.5099
