sampleID	Bcells	CAFs	CD4_Tcells	CD8_Tcells	Endothelial	Macrophages	NKcells	otherCells
U2062	0.0064	0.0216	0.2212	0.0459	0.0778	9e-04	0	0.626
U0048	0.0084	0.0175	0.2702	0.0616	0.0679	3e-04	0	0.5741
U2049	0.0083	0.0201	0.2155	0.0676	0.0665	9e-04	0	0.6211
U0200	0.0056	0.0195	0.1992	0.0479	0.1224	5e-04	0	0.6048
U0125	0.0103	0.0062	0.268	0.0772	0.0413	8e-04	0	0.5961
U0007	0.0078	0.0114	0.2654	0.0644	0.0707	9e-04	0	0.5794
U1228	0.0075	0.0088	0.1843	0.0535	0.0731	5e-04	0	0.6724
U0062	0.0097	0.0055	0.2424	0.0714	0.0462	5e-04	0	0.6243
U0134	0.0067	0.0175	0.1971	0.0624	0.0968	6e-04	0	0.619
U1282	0.0104	0.0113	0.2395	0.0632	0.0385	7e-04	0	0.6364
U1177	0.0069	0.0125	0.2239	0.061	0.0907	3e-04	0	0.6047
U1330	0.0094	0.0095	0.2707	0.0732	0.0487	7e-04	0	0.5878
U0060	0.0069	0.0333	0.2706	0.0685	0.1103	0.0011	0	0.5092
U0641	0.009	0.0367	0.2674	0.0485	0.1586	7e-04	0	0.4791
U1237	0.0076	0.0209	0.1868	0.05	0.0439	0.001	0	0.6898
U0121	0.0113	0.0108	0.3156	0.073	0.0393	5e-04	0	0.5494
U0642	0.0029	0.0094	0.1973	0.0392	0.0646	6e-04	0	0.686
U1207	0.0076	0.027	0.2075	0.0637	0.0944	8e-04	0	0.5989
U0001	0.0059	0.0039	0.2271	0.0537	0.0765	5e-04	0	0.6323
U0045	0.0098	0.0109	0.2498	0.071	0.0457	0.001	0	0.6118
U0159	0.0059	0.0093	0.3026	0.0634	0.0737	0	0	0.545
U1413	0.0057	0.0168	0.1914	0.0543	0.0608	0.0011	0	0.67
U0542	0.0068	0.0052	0.2075	0.0524	0.068	7e-04	0	0.6594
U1408	0.0056	0.0175	0.2707	0.0644	0.0535	3e-04	0	0.5879
U1135	0.0052	0.0121	0.2286	0.0662	0.075	4e-04	0	0.6126
U0094	0.0094	0.0324	0.2754	0.0748	0.0543	0.0011	0	0.5526
U0069	0.0094	0.0251	0.2836	0.0656	0.0385	0.0012	0	0.5767
U1157	0.0065	0.0144	0.294	0.0663	0.1314	4e-04	0	0.487
U1061	0.0065	0.0269	0.2369	0.054	0.0727	5e-04	0	0.6025
U1050	0.0056	0.0361	0.2815	0.0407	0.0725	0.0015	0	0.5622
U0584	0.0042	0.0088	0.2105	0.0552	0.0388	0.0011	0	0.6813
U1150	0.0077	0.0517	0.2956	0.0623	0.0866	0.0019	0	0.4941
U0118	0.0091	0.04	0.2513	0.0677	0.0479	0.0013	0	0.5827
U1403	0.0068	0.0143	0.2733	0.0647	0.048	6e-04	0	0.5923
U0037	0.011	0.0115	0.2585	0.0771	0.0301	9e-04	0	0.6109
U0117	0.0077	0.0082	0.3072	0.0624	0.096	9e-04	0	0.5175
U0847	0.0072	0.0341	0.2346	0.0633	0.0694	0.0012	0	0.5902
U0011	0.006	0.0185	0.202	0.0567	0.0821	4e-04	0	0.6342
U0535	0.0076	0.0104	0.2895	0.067	0.0384	4e-04	0	0.5867
U0027	0.0099	0.0129	0.2707	0.0721	0.0529	6e-04	0	0.5808
U0095	0.0018	0.016	0.1485	0.0304	0.0931	9e-04	0	0.7093
U0612	0.0038	0.0225	0.2302	0.0467	0.0552	6e-04	0	0.6409
U0142	0.0098	0.0063	0.2352	0.0634	0.0575	6e-04	0	0.6272
U0028	0.0057	0.0231	0.2009	0.0498	0.0599	4e-04	0	0.6602
U1279	0.0072	0.0281	0.2616	0.0696	0.0468	7e-04	0	0.586
U0032	0.0116	0.0061	0.3712	0.0891	0.0324	9e-04	0	0.4886
U0102	0.0104	0.0095	0.2516	0.0686	0.1259	5e-04	0	0.5335
U0275	0.0057	0.0661	0.1665	0.0513	0.1105	8e-04	0	0.5992
U0105	0.0048	0.0087	0.2151	0.0669	0.0405	0.0012	0	0.6629
U1031	0.0035	0.0124	0.2215	0.0607	0.1044	5e-04	0	0.5971
U0026	0.0075	0.0093	0.2626	0.054	0.041	0.0027	0	0.6229
