sampleID	Bcells	CAFs	CD4_Tcells	CD8_Tcells	Endothelial	Macrophages	NKcells	otherCells
U2045	0.002	0.0109	0.1348	0.032	0.0503	1e-04	0	0.77
U2038	0.0021	0.101	0.2175	0.0341	0.1278	0.003	0	0.5145
U2056	0.0059	0.0695	0.1277	0.0492	0.0913	0.0018	0	0.6548
U2037	0.0063	0.0422	0.2238	0.0613	0.1055	2e-04	0	0.5607
U2070	0.0011	0.0412	0.2519	0.0559	0.1607	2e-04	0	0.489
U2034	0.0022	0.0197	0.1187	0.0346	0.0385	1e-04	0	0.7861
U0434	0.0033	0.0079	0.159	0.0331	0.0444	1e-04	0	0.7521
U2048	0.0037	0.039	0.2704	0.0486	0.0996	2e-04	0	0.5385
U2028	0.0047	0.1401	0.224	0.0565	0.2428	5e-04	0	0.3314
U2076	0.0033	0.0289	0.2181	0.0401	0.0731	2e-04	0	0.6363
U2074	0.0064	0.0223	0.2574	0.062	0.0702	0.001	0	0.5808
U2075	0.0046	0.0288	0.1873	0.0534	0.0924	3e-04	0	0.6331
U2030	0.0015	0.2715	0.0957	0.0247	0.6043	0.0024	0	0
U2031	0.0059	0.0442	0.2738	0.055	0.1522	4e-04	0	0.4685
U2061	0.0338	0.2963	0.1221	0.0097	0.1696	0.0034	0	0.3652
U2036	0.0018	0.0142	0.1748	0.0301	0.0631	0.0013	0	0.7148
U2072	5e-04	0.3133	0.2245	0.0059	0.1947	8e-04	0	0.2603
U2032	0	0.0393	0.3018	0.0248	0.0933	0	0	0.5407
U2069	0.0026	0.0122	0.2202	0.0439	0.0454	3e-04	0	0.6754
U2079	0.0052	0.4636	0.1489	0.0166	0.1432	0.0015	0	0.2209
U2060	0	0.0884	0.1193	0.0538	0.4883	1e-04	0	0.2503
U2052	0.002	0.0081	0.1769	0.0332	0.1092	1e-04	0	0.6705
U2054	0.0062	0.0351	0.206	0.0485	0.1937	6e-04	0	0.5099
U2102	0.0048	0.014	0.208	0.058	0.077	7e-04	0	0.6375
U0844	0.006	0.0185	0.1917	0.0547	0.0345	8e-04	0	0.6938
U1396	0.001	0.027	0.1957	0.034	0.0809	5e-04	0	0.6609
U0076	0.0052	0.0286	0.1324	0.04	0.0704	0.0019	0	0.7214
U2115	0.0079	0.0114	0.2118	0.0425	0.0616	9e-04	0	0.664
U2040	0.0022	0.0197	0.2251	0.0305	0.0839	4e-04	0	0.6382
U1354	0.0037	0.0119	0.1429	0.0426	0.1062	4e-04	0	0.6923
U2059	0.0032	0.008	0.1813	0.0411	0.0499	2e-04	0	0.7164
U2033	0.0011	0.0101	0.3108	0.0247	0.1597	2e-04	0	0.4934
U1100	0.0047	0.0088	0.2111	0.046	0.1246	0.0012	0	0.6036
U1235	0.0041	0.0173	0.1857	0.042	0.1009	4e-04	0	0.6496
U1106	0.0036	0.0219	0.2195	0.0565	0.0592	0.0014	0	0.638
U0646	0.0054	0.019	0.1636	0.0394	0.1433	2e-04	0	0.6291
U0189	0.0039	0.0139	0.1143	0.0389	0.0542	3e-04	0	0.7746
U0156	0.0046	0.0196	0.2351	0.0607	0.0912	0.001	0	0.5878
U0126	0.0075	0.0207	0.2273	0.0684	0.0997	4e-04	0	0.5759
U2092	7e-04	0.009	0.209	0.0431	0.0823	8e-04	0	0.6551
U0149	0.0013	0.0229	0.1505	0.039	0.0737	9e-04	0	0.7116
U0766	0.004	0.0058	0.2058	0.0476	0.0595	5e-04	0	0.6768
U1480	0.0041	0.043	0.1141	0.052	0.0597	8e-04	0	0.7263
U1162	0.005	0.0331	0.2082	0.0569	0.1249	5e-04	0	0.5714
U1194	0.0057	0.0266	0.1902	0.0499	0.1071	7e-04	0	0.6197
U0502	0.0045	0.0217	0.1262	0.0556	0.0775	0.0021	0	0.7125
U0104	0.0041	0.0469	0.109	0.0287	0.0509	0.0021	0	0.7583
U0071	0.008	0.015	0.2142	0.0417	0.0366	8e-04	0	0.6837
U0110	0.0074	0.0077	0.201	0.0569	0.0624	4e-04	0	0.6642
U2091	3e-04	0.0165	0.1689	0.0274	0.0492	2e-04	0	0.7375
U1099	0.0018	0.0101	0.2099	0.0476	0.0774	0	0	0.6531
U2083	0.0169	0.0366	0.2142	0.0176	0.1304	0.001	0	0.5834
U0059	0.0062	0.0214	0.1778	0.0572	0.1398	4e-04	0	0.5972
U0512	0.0032	0.0362	0.1965	0.0501	0.083	2e-04	0	0.6308
U1105	0.0047	0.0247	0.224	0.0556	0.1025	3e-04	0	0.5883
U0064	0.0047	0.0141	0.1119	0.0404	0.0397	4e-04	0	0.7888
U0383	0.0055	0.016	0.2417	0.0577	0.1259	3e-04	0	0.553
U1192	0.006	0.0819	0.1108	0.0315	0.2225	0.0011	0	0.5461
U1476	0.0033	0.0227	0.2417	0.0479	0.0494	0	0	0.6349
U0143	0.0064	0.0237	0.1529	0.062	0.0622	4e-04	0	0.6923
U0603	4e-04	0.0297	0.1405	0.0302	0.101	2e-04	0	0.698
U0768	0.0017	0.0232	0.1177	0.0272	0.0635	4e-04	0	0.7663
U0623	2e-04	0.0311	0.1943	0.0092	0.0857	8e-04	0	0.6787
U0779	0.0046	0.0138	0.2008	0.0396	0.0901	8e-04	0	0.6502
U0777	0.0014	0.0286	0.1102	0.0353	0.0762	3e-04	0	0.748
U0201	0.0023	0.1083	0.2044	0.0544	0.1689	7e-04	0	0.461
U2119	0.0032	0.015	0.2091	0.0423	0.1301	6e-04	0	0.5997
U0515	0.0048	0.024	0.1035	0.0482	0.1185	7e-04	0	0.7002
U0038	0.0053	0.0158	0.1338	0.0474	0.0734	6e-04	0	0.7236
U0067	0.0036	0.0212	0.1541	0.0425	0.0638	3e-04	0	0.7145
U0796	0.0025	0.248	0.1107	0.0214	0.0679	0.003	0	0.5464
U1244	0.0041	0.019	0.1702	0.0452	0.0921	0.0016	0	0.6678
U0139	0.0036	0.0124	0.1436	0.0462	0.0434	7e-04	0	0.7502
U1283	0.005	0.0151	0.1417	0.0449	0.0707	8e-04	0	0.7217
U1374	0.0045	0.0062	0.1422	0.0393	0.0548	2e-04	0	0.7528
U2093	7e-04	0.013	0.1799	0.0268	0.0644	9e-04	0	0.7143
U0120	0.0016	0.0099	0.1639	0.0084	0.0409	0.0018	0	0.7736
U1415	0.0044	0.0093	0.0876	0.0295	0.0408	1e-04	0	0.8282
U1025	0.0047	0.0202	0.1472	0.0426	0.0806	7e-04	0	0.7039
U0706	0.0013	0.021	0.1526	0.0414	0.0693	4e-04	0	0.714
U0431	0.0012	0.035	0.0981	0.0205	0.0427	6e-04	0	0.8019
U1335	0.0077	0.0223	0.2517	0.0674	0.0971	0.0017	0	0.5522
U0430	0.0018	0.033	0.289	0.0414	0.1949	0.0014	0	0.4385
U1171	0.004	0.0103	0.1185	0.0394	0.0731	3e-04	0	0.7544
U0867	0.0012	0.0261	0.1946	0.0332	0.0734	7e-04	0	0.6707
U2104	0.0058	0.0118	0.1623	0.0587	0.1407	8e-04	0	0.62
U0645	0.0029	0.0497	0.1566	0.0445	0.1492	4e-04	0	0.5967
U0625	0.001	0.0138	0.2304	0.0323	0.0941	0.0023	0	0.6259
U0119	0.0068	0.0126	0.1864	0.0548	0.036	3e-04	0	0.7031
