sampleID	Bcells	CAFs	CD4_Tcells	CD8_Tcells	Endothelial	Macrophages	NKcells	otherCells
U2090	0.0048	0.0163	0.1243	0.054	0.0411	5e-04	0	0.759
U0457	0.0017	0.0071	0.1754	0.0345	0.0662	5e-04	0	0.7145
U2095	9e-04	0.016	0.1847	0.0396	0.0414	6e-04	0	0.7169
U1179	0.0044	0.0099	0.1702	0.0428	0.0661	8e-04	0	0.7058
U0448	0.001	0.016	0.2549	0.0411	0.1321	5e-04	0	0.5544
U1233	0.0039	0.0203	0.1879	0.0342	0.0439	8e-04	0	0.709
U2097	0.0092	0.0123	0.1081	0.0397	0.0737	0.001	0	0.7561
U1286	0.0086	0.0247	0.2082	0.0473	0.0964	5e-04	0	0.6143
U0496	0.0021	0.0266	0.1929	0.0404	0.0872	4e-04	0	0.6505
U0453	7e-04	0.0288	0.2641	0.0306	0.1075	0.001	0	0.5674
U2121	0.0043	0.0588	0.21	0.0544	0.0624	4e-04	0	0.6097
U0455	0.004	0.0262	0.2297	0.0522	0.0983	6e-04	0	0.589
U0435	0.0082	0.0435	0.2475	0.0311	0.1603	3e-04	0	0.509
U0042	0.0029	0.0283	0.2156	0.0424	0.0845	2e-04	0	0.6261
U2110	0.0033	0.0135	0.1916	0.043	0.0945	0	0	0.654
U2081	0	0.023	0.2372	0.0337	0.0528	0	0	0.6532
U2088	0.0028	0.0253	0.1217	0.0383	0.0885	2e-04	0	0.7231
U2089	0.0027	0.0131	0.1152	0.0254	0.0315	9e-04	0	0.8112
U2080	0.0022	0.0114	0.1417	0.0441	0.0434	4e-04	0	0.7567
U2100	0	0.0277	0.2514	0.0371	0.096	1e-04	0	0.5878
U2108	7e-04	0.0258	0.243	0.0393	0.0638	0.0012	0	0.6263
U2111	0.0019	0.041	0.2258	0.0526	0.1156	2e-04	0	0.5628
U2117	0.0022	0.0453	0.2951	0.0142	0.1688	0.0019	0	0.4725
U2099	5e-04	0.0147	0.1408	0.0299	0.056	4e-04	0	0.7576
U2098	0.001	0.0361	0.0678	0.0209	0.0484	0.0015	0	0.8242
U2120	0.0026	0.0652	0.1845	0.0481	0.1421	7e-04	0	0.5568
U2094	7e-04	0.0167	0.1721	0.0315	0.1111	3e-04	0	0.6675
U2101	0.0036	0.0206	0.1598	0.0394	0.0634	2e-04	0	0.713
U2082	0.0021	0.0116	0.1278	0.0348	0.0426	0	0	0.7811
U2085	1e-04	0.0306	0.1026	0.0347	0.1274	6e-04	0	0.704
U2053	0.0029	0.0944	0.3207	0.0051	0.1865	0.0023	0	0.388
U2078	0.0089	0.0683	0.2887	0.0462	0.072	8e-04	0	0.5149
U2058	0.0084	0.0764	0.5135	0	0.3776	0.0013	0	0.0228
U2035	6e-04	0.0576	0.2209	0.0199	0.066	0.0024	0	0.6326
U2067	0.0101	0.0123	0.3086	0.0469	0.0396	0.001	0	0.5815
U0128	0.008	0.0896	0.2353	0.0603	0.1546	0.0015	0	0.4507
U2086	0.0048	0.0259	0.3013	0.0216	0.1301	0.0021	0	0.5142
U2042	0.004	0.0076	0.2569	0.045	0.0718	0.001	0	0.6137
U0446	0.0128	0.0362	0.338	0.052	0.088	9e-04	0	0.472
U0544	0.0043	0.0132	0.2524	0.0223	0.0585	0.004	0	0.6453
U0608	0.0031	0.0264	0.1382	0.0397	0.1613	0.0012	0	0.6301
U0204	0.0035	0.0172	0.2229	0.0661	0.0614	6e-04	0	0.6282
U0516	0.0087	0.0178	0.2419	0.0624	0.0847	8e-04	0	0.5837
